style,role,occasion,description
bohemian,"a small-framed, delicate woman",a bar,"A bohemian style outfit would be perfect for a small-framed, delicate woman at a bar. The
outfit should feature flowy and feminine pieces that accentuate her curves and add a touch of elegance to her
look. Here's an example of what such an outfit could look like:

* A white or pastel-colored crop top with lace detailing on the sleeves and neckline would be a great choice.
Pair it with high-waisted, flowy skirts or pants in a light shade of blue or green to create a cohesive look.
* Add some statement jewelry to the outfit, such as a long gold necklace or multiple layered bracelets. These
will add some depth and dimension to the look.
* Finish off the outfit with a pair of strappy sandals or espadrilles in a complementary color. These will add
some height and texture to the look.

Overall, the key to a bohemian style outfit is to keep it flowing, feminine, and elegant. With the right
pieces and accessories, this outfit would be perfect for a small-framed, delicate woman at a bar."
bohemian,"a short, curvy man with a muscular build",a sports event,"A bohemian style outfit for a short, curvy man with a muscular build
at a sports event could include a flowy, pastel-colored shirt paired with high-waisted, distressed denim
shorts. To add some edge to the look, a pair of chunky, combat boots could be worn. For accessories, a
statement necklace and multiple layered bracelets would complete the outfit. The overall aesthetic should be
carefree and effortless, with an emphasis on comfort and movement."
classic,"a small-framed, delicate woman",a cruise,"A classic style outfit for a small-framed, delicate woman at a cruise would feature timeless
pieces that exude elegance and sophistication. The outfit could include a tailored blazer or jacket in a
neutral color like navy, black, or beige, paired with a crisp white button-down shirt. For bottoms, a high-
waisted, full skirt or a pair of high-waisted trousers would be a great option to add some height and balance
to the outfit. Accessories should be kept simple and understated, such as a statement necklace or a pair of
delicate earrings. Finish off the look with a chic clutch or handbag in a complementary color, and complete
the look with strappy heels or sandals. Overall, this classic style outfit is perfect for a small-framed,
delicate woman looking to make a statement at a cruise."
classic,"a short, curvy man with a muscular build",a national parks,"A classic style fashion outfit for a short, curvy man with a muscular build
would feature tailored pieces that accentuate his natural curves and showcase his strong physique. For
example, a well-tailored navy blue suit paired with a crisp white shirt and black tie would create a sharp and
sophisticated look. To add some personality to the outfit, consider adding a statement watch or cufflinks.
Finish off the look with a pair of polished leather shoes and a stylish hat, such as a fedora or bowler hat.
This classic style outfit will help the man stand out while still looking polished and put together."
gothic,"a small-framed, delicate woman",a wedding,"A delicate woman with a small frame would look stunning in a gothic-style outfit for a
wedding. The outfit should feature dark colors such as black, navy, or burgundy, with intricate details such
as lace, embroidery, or sequins. The dress could have a fitted bodice and a full skirt, with a sweetheart
neckline or off-the-shoulder straps. For accessories, a long veil, statement earrings, and a choker or
headband would add an extra touch of elegance. Completing the look with black or nude heels and a clutch in a
complementary color will make the outfit stand out."
gothic,"a short, curvy man with a muscular build",a fancy date,"A gothic style outfit for a short, curvy man with a muscular build would
feature dark colors such as black, navy, or deep purple, paired with textured fabrics like leather or velvet.
The outfit could include a fitted suit jacket or blazer, paired with a tailored shirt and skinny tie. For
pants, a pair of high-waisted, form-fitting trousers or a leather skirt would work well. Accessories should be
minimalistic and edgy, such as a statement necklace or a leather belt. Finish off the look with a pair of
black ankle boots or combat boots for a tough, masculine touch."
sporty,"a small-framed, delicate woman",a concert,"A sporty style outfit for a small-framed, delicate woman attending a concert could include a
pastel-colored crop top paired with high-waisted leggings or a denim mini skirt. The outfit should feature
bold and statement accessories such as chunky sneakers, a statement necklace or bracelet, and a crossbody bag.
To complete the look, consider adding a pair of sunglasses and a baseball cap for a casual and comfortable
feel."
sporty,"a short, curvy man with a muscular build",a play / concert,"A sporty style outfit for a short, curvy man with a muscular build at a
play or concert could include a sleek black tank top paired with high-waisted athletic shorts. To add some
edge to the look, consider adding a pair of black sneakers with a bold logo or pattern. For accessories, a
statement watch and a pair of sunglasses with a sporty design would complete the look. Don't forget to wear
your hair styled in a sleek, low ponytail to keep it out of your face while you dance the night away!"
casual,"a small-framed, delicate woman",a camping / hiking,"A small-framed, delicate woman would look great in a casual style for camping or
hiking. Here's a description of an outfit that would work well:

* A lightweight, breathable top such as a crop top or a sleeveless shirt made from a blend of cotton and
spandex. This will provide comfort and flexibility while also allowing for easy movement.
* Pair the top with a high-waisted, flowy skirt or a pair of leggings. The high waistline will help elongate
the legs and create a flattering silhouette.
* For footwear, choose a comfortable pair of sneakers or hiking boots with good grip. Make sure they are in a
neutral color like black, white, or brown to match the rest of the outfit.
* Accessorize with a crossbody bag or a backpack to carry essentials like water, snacks, and a map.
* To add some personality to the outfit, consider adding a statement necklace or a pair of dainty earrings.

Overall, this casual style is perfect for a small-framed, delicate woman who wants to feel comfortable and
confident while exploring the great outdoors."
casual,"a short, curvy man with a muscular build",a music festival,"A casual style outfit for a short, curvy man with a muscular build at a
music festival could include a pair of distressed denim shorts paired with a colorful graphic tee. To add some
edge to the look, a leather jacket or a denim jacket with rips and patches could be worn over the top. Finish
off the outfit with a pair of sneakers or boots, and accessorize with a statement necklace or bracelet. Don't
forget to wear sunscreen and bring a water bottle to stay hydrated during the festival!"
bohemian,"a small-framed, delicate woman",a camping / hiking,"A bohemian-style fashion outfit for a small-framed, delicate woman on a camping or
hiking trip would feature flowy, lightweight fabrics such as chiffon or lace. The colors should be soft and
muted, with earthy tones like greens, browns, and blues being particularly suitable for an outdoor setting.

The outfit could include a flowing midi dress or a pair of high-waisted, wide-legged pants paired with a crop
top. A light denim jacket or a kimono cardigan could also be added for warmth. Accessories such as a statement
necklace, a headband or a floppy sunhat can add some personality to the look.

Comfortable footwear such as hiking boots or sandals with good grip would be essential for the outdoor
activities. A backpack or a crossbody bag could be used to carry essentials such as water, snacks, and a map.

Overall, the key to a successful bohemian-style outfit for camping or hiking is to keep it comfortable,
practical, and stylish."
bohemian,"a short, curvy man with a muscular build",a national parks,"A bohemian style outfit for a short, curvy man with a muscular
build would feature flowy, loose-fitting pieces that accentuate his curves and add dimension to his body. The
outfit could include a lightweight, flowing blouse or crop top paired with high-waisted, flowy pants or a
skirt. To add some texture and interest, a statement piece of jewelry such as a chunky necklace or bracelet
could be incorporated. A pair of comfortable, yet stylish shoes such as sandals or boots would complete the
look. For accessories, a wide-brimmed hat and a pair of sunglasses would provide shade and protection from the
sun while exploring the national park."
classic,"a small-framed, delicate woman",a concert,"A classic style outfit for a small-framed, delicate woman attending a concert could include
a fitted black dress with a sweetheart neckline and a cinched waist. The dress should be made from a soft,
flowing fabric like chiffon or organza to add some movement and flow to the outfit. Pair the dress with
strappy high heels in a complementary color like nude or black, and accessorize with simple gold jewelry like
a delicate chain necklace and stud earrings. Finish off the look with a small clutch purse in a coordinating
color, such as a black or nude bag with gold hardware. This classic style outfit is perfect for a concert
because it's elegant, comfortable, and easy to move around in."
classic,"a short, curvy man with a muscular build",a work / office event,"For a short, curvy man with a muscular build attending a work/office
event, I would recommend a classic and timeless outfit that showcases his best features while maintaining a
professional appearance. Here's my suggestion:

* A tailored navy blue suit with a single button jacket and slim lapels. This will accentuate his broad
shoulders and give him a sharp, polished look.
* A crisp white collared shirt with a classic collar and fitted sleeves. This will add a touch of elegance and
sophistication to the outfit.
* A silk tie in a subtle pattern or color, such as a light gray or navy blue. This will add a pop of color to
the outfit without being too flashy.
* A pair of black leather oxford shoes with a low profile. These will complement the suit and tie while also
being comfortable for everyday wear.
* A silver watch with a leather strap. This will add a touch of luxury and sophistication to the outfit
without being too overpowering.
* A leather belt in a dark brown or black color to cinch the waist and accentuate his curves.
* A pair of well-tailored trousers in a darker shade of navy blue or charcoal gray. This will add depth and
texture to the outfit while also being practical for a work environment.

Overall, this classic and timeless outfit will showcase the man's best features while maintaining a
professional appearance suitable for a work/office event."
gothic,"a small-framed, delicate woman",a cocktail party,"A gothic-inspired outfit for a small-framed, delicate woman attending a cocktail party
could include a black velvet midi dress with a plunging neckline and a fitted bodice. The dress should have a
cinched waist to accentuate her frame and a flowing skirt that falls just above the knee. To complete the
look, she could wear a pair of strappy black heels with a pointed toe and a chunky platform. She could also
add some statement jewelry, such as a thick silver chain necklace and a pair of black leather gloves with
silver studs. Finally, she could finish off the outfit with a black clutch adorned with spikes or other gothic
embellishments."
gothic,"a short, curvy man with a muscular build",a casual date,"For a short, curvy man with a muscular build looking for a casual date, I
would suggest a gothic-inspired outfit that showcases his unique features while still being comfortable and
practical. Here's my suggestion:

* Top: A black leather crop top with a fitted neckline and cutouts on the sides. This will accentuate his
broad shoulders and chest while also showing off some skin.
* Bottoms: A pair of high-waisted black leather leggings with a slight flare at the bottom. These will hug his
curves and add some height to his frame.
* Shoes: Black combat boots with a chunky platform. These will add some edge to the outfit while also
providing comfort and support.
* Accessories: A black leather belt with a large buckle, a statement silver necklace with a skull pendant, and
a pair of black leather gloves. These accessories will add some toughness and attitude to the outfit without
overwhelming it.

Overall, this gothic-inspired outfit is perfect for a casual date, as it combines edgy style with comfort and
practicality. It will showcase your client's unique features while still being appropriate for a variety of
settings."
sporty,"a small-framed, delicate woman",a casual gathering,"A sporty style outfit for a small-framed, delicate woman at a casual gathering could
include a pastel-colored crop top paired with high-waisted leggings or joggers. The crop top should have a
fitted silhouette to accentuate the upper body, while the leggings or joggers should be loose enough to allow
for comfortable movement. To complete the look, add a pair of sneakers or athletic sandals, and accessorize
with a statement necklace or bracelet. This outfit is perfect for a casual gathering where comfort and style
are key."
sporty,"a short, curvy man with a muscular build",a beach,"A sporty style outfit for a short, curvy man with a muscular build at a beach could
include a pair of high-waisted, athletic shorts in a bright or pastel color, paired with a fitted, sleeveless
crop top in a complementary shade. To complete the look, add a pair of sunglasses with a sporty frame and a
visor to protect your eyes from the sun, as well as a pair of running shoes or sandals that are both
comfortable and stylish. Don't forget to accessorize with a stylish watch or bracelet to add some extra flair
to your outfit."
casual,"a small-framed, delicate woman",a play / concert,"A small-framed, delicate woman would look stunning in a casual style outfit for a play
or concert. The outfit should feature soft, flowing pieces that accentuate her natural curves and add some
height to her frame. Here are some ideas:

1. A pastel-colored midi dress with a cinched waist and flowy skirt would be perfect for a play or concert.
Look for a dress with a sweetheart neckline or off-the-shoulder straps to add some femininity to the outfit.
2. Pair a flowy maxi skirt with a crop top or tank top for a more casual look. Choose a bright or pastel color
for the skirt to add some pop to the outfit.
3. A denim jumpsuit with a cropped pant leg and a fitted top would be a great option for a concert. Look for a
jumpsuit with a relaxed fit to add some ease to the outfit.
4. A flowy midi dress with a floral print or fun pattern would be a playful option for a play or concert.
Choose a dress with a V-neckline or halter top to add some sophistication to the outfit.
5. Pair a high-waisted, flowy skirt with a crop top or tank top for a more feminine look. Choose a skirt with
a full or A-line silhouette to add some volume to the outfit.

Remember to choose comfortable shoes that will allow you to dance and move freely on the dance floor. Have fun
and let your personality shine through in your outfit!"
casual,"a short, curvy man with a muscular build",a nature retreat,"A stylish and comfortable outfit for a short, curvy man with a muscular
build at a nature retreat would include a pair of lightweight chino shorts in a muted earth tone such as khaki
or olive green. Pair these shorts with a lightweight, breathable button-up shirt in a similar color to create
a cohesive look. For footwear, a pair of casual boat shoes or sandals would be perfect for exploring the
outdoors. To accessorize, add a pair of aviator sunglasses and a baseball cap for protection from the sun, and
a stylish watch to complete the look."
bohemian,"a small-framed, delicate woman",a camping / hiking,"A bohemian-style fashion outfit for a small-framed, delicate woman on a camping or
hiking trip would feature flowy, lightweight fabrics such as chiffon or lace. The colors should be soft and
muted, with earthy tones like greens, browns, and blues being particularly suitable for an outdoor setting.

The outfit could include a flowing midi dress or a pair of high-waisted, wide-legged pants paired with a crop
top. A light denim jacket or a kimono cardigan could also be added for warmth. Accessories such as a statement
necklace, a headband or a floppy sunhat can add some personality to the look.

Comfortable footwear such as hiking boots or sandals with good grip would be essential for the outdoor
activities. A backpack or a crossbody bag could be used to carry essentials such as water, snacks, and a map.

Overall, the key to a successful bohemian-style outfit for camping or hiking is to keep it comfortable,
practical, and stylish."
bohemian,"a short, curvy man with a muscular build",a halloween party,"A bohemian style outfit for a short, curvy man with a muscular
build at a Halloween party could include a flowy, vibrant-colored shirt made of lightweight fabric such as
chiffon or organza. The shirt could feature intricate embroidery or lace details on the collar or sleeves.
Pair the shirt with a high-waisted, flowing skirt made of the same lightweight fabric, with a fun pattern or
color that complements the shirt. Add some statement jewelry, such as a long gold necklace or chunky
bracelets, to complete the look. Finish off the outfit with a pair of comfortable, yet stylish shoes such as
booties or sandals."
classic,"a small-framed, delicate woman",a picnic,"A classic style picnic outfit for a small-framed, delicate woman could include a flowy,
pastel-colored sundress with a cinched waist and a flared skirt. The dress could also feature lace or
embroidery details for added elegance. To accessorize, a wide-brimmed sun hat and a pair of sunglasses would
be perfect for protecting against the sun. A crossbody bag or basket purse would be practical for carrying
essentials. Finish off the look with strappy sandals or espadrilles for a casual, comfortable feel."
classic,"a short, curvy man with a muscular build",a bar,"A classic style outfit for a short, curvy man with a muscular build at a bar could
include a tailored navy blue suit paired with a crisp white dress shirt and black leather dress shoes. The
suit should fit well and accentuate his curves while also providing structure and support. A silk tie in a
subtle pattern or color would add a touch of elegance to the look. For accessories, a simple silver watch and
cufflinks would complete the outfit. Overall, this classic style outfit would exude confidence and
sophistication while still being comfortable and practical for a night out at the bar."
gothic,"a small-framed, delicate woman",a winter vacation,"A gothic-style fashion outfit for a small-framed, delicate woman on a winter vacation
would feature dark colors, intricate patterns, and unique textures to create an ethereal and mysterious look.
The outfit could include a flowing black midi dress with lace or floral details, paired with black combat
boots or ankle boots with a pointed toe. A statement necklace or choker with a cross or skull motif would add
a touch of edginess, while a faux fur coat or scarf in a deep shade of purple or red would provide warmth and
texture. Accessories such as black tights, fishnet gloves, and a wide-brimmed hat with a black bow could
complete the look. Overall, this gothic-inspired outfit would be perfect for a winter vacation, whether it's
spent exploring a new city or cozying up by the fireplace."
gothic,"a short, curvy man with a muscular build",a conference,"A gothic style outfit for a short, curvy man with a muscular build at a
conference could include a black velvet suit with a tailored fit, paired with a white silk shirt and black
leather dress shoes. The suit should have a slim lapel and a single button, with a subtle pattern or
embroidery on the jacket. The shirt should be fitted but not too tight, with a classic collar and a crisp
white dress shirt. The dress shoes should be black leather, with a pointed toe and a sleek design. To complete
the look, add a pair of black leather gloves and a statement piece of jewelry, such as a silver cross necklace
or a black leather bracelet."
sporty,"a small-framed, delicate woman",a bar,"A sporty style outfit for a small-framed, delicate woman at a bar could include a fitted crop top
made from a lightweight and breathable material such as cotton or linen. The crop top should feature bold
graphics or patterns that add a touch of edge to the look. Pair the crop top with high-waisted leggings or a
pair of high-waisted denim shorts for a sleek and flattering silhouette. Finish off the look with a pair of
sneakers or athletic sandals for a casual and comfortable feel. Accessorize with a statement necklace or a
pair of dainty hoop earrings for some added glamour."
sporty,"a short, curvy man with a muscular build",a fancy date,"A sporty style outfit for a short, curvy man with a muscular build would
include a tailored suit in a bold color such as navy or burgundy, paired with a crisp white dress shirt and a
silk tie in a complementary color. The suit should fit well and accentuate his curves and muscles. For shoes,
a pair of sleek leather sneakers or boots would be a great choice. Accessories could include a statement
watch, cufflinks, and a stylish bag. Overall, the key is to balance athleticism with sophistication for a
fashionable and confident look on a fancy date."
casual,"a small-framed, delicate woman",a fancy date,"A chic and sophisticated outfit for a small-framed, delicate woman on a fancy date would
be a pastel-colored midi dress with a fitted bodice and a full skirt. The dress should have a feminine touch
with lace or floral details, and it can be paired with strappy high heels and simple jewelry such as a
delicate necklace and stud earrings. For accessories, a small purse or clutch in a complementary color would
complete the look. Overall, this outfit exudes elegance and grace while still being comfortable and easy to
move in."
casual,"a short, curvy man with a muscular build",a sports event,"A stylish and athletic outfit for a short, curvy man with a muscular build at
a sports event could include a sleek black or navy blue fitted t-shirt paired with a pair of high-waisted
black or dark wash denim jeans. To add some height and definition to his frame, he could wear a pair of black
or white sneakers with a chunky sole. For accessories, he could wear a black or silver watch and a pair of
black or silver aviator sunglasses to complete the look. This outfit is both comfortable and fashionable,
making it perfect for a sports event where he can show off his physique while still looking stylish."
bohemian,"a small-framed, delicate woman",a cocktail party,"A bohemian-style outfit would be perfect for a small-framed, delicate woman
attending a cocktail party. The outfit should feature flowy, feminine pieces that accentuate her curves and
add a touch of whimsy to her look. Here are some ideas for a bohemian-inspired outfit:

1. A flowy midi dress with a floral or geometric print would be a great choice. Look for a dress with a
cinched waist and a full skirt to add volume and create a feminine silhouette.
2. Pair the dress with a pair of strappy sandals or ankle boots. These will add height and elongate your legs,
making you look even more petite and delicate.
3. Accessorize with a statement necklace or a dainty bracelet. Adding some sparkle to your outfit will make
you stand out and add a touch of glamour to your look.
4. Finish off the outfit with a chic clutch or handbag. Choose a bag that complements the color of your dress
and adds a pop of color to your outfit.

Remember to keep it simple and understated when it comes to bohemian style. Stick to soft colors, flowing
fabrics, and delicate details to create a truly enchanting look."
bohemian,"a short, curvy man with a muscular build",a play / concert,"A bohemian style outfit for a short, curvy man with a muscular
build would feature flowy, loose-fitting pieces that accentuate his curves and add some dimension to his body.
For example, he could wear a pair of high-waisted, flowy pants or a midi skirt with a fitted top that hugs his
chest and shoulders. He could also add some layering pieces like a denim jacket or a cardigan to give the
outfit more texture and depth. To complete the look, he could accessorize with statement jewelry like chunky
boots or a thick belt, as well as a wide-brimmed hat or a bandana tied around his neck. The key is to keep the
pieces loose and flowing while still accentuating his natural features and adding some personality to the
outfit."
classic,"a small-framed, delicate woman",a gala / exhibition opening,"A classic style outfit for a small-framed, delicate woman attending a
gala or exhibition opening could include a tailored black blazer with gold hardware, paired with a crisp white
button down shirt. The shirt could feature a subtle pattern or embroidery detail on the collar or cuffs to add
some personality to the look. For bottoms, a pair of high-waisted, dark wash denim jeans or a silk midi skirt
in a rich color like burgundy or navy would be a great choice. Accessories should be kept simple and elegant,
with a thin gold belt and a pair of strappy nude heels. A statement clutch in a complementary color, such as a
deep red or emerald green, would complete the look."
classic,"a short, curvy man with a muscular build",a semi-casual event,"For a short, curvy man with a muscular build attending a semi-casual
event, I would recommend a timeless and versatile outfit in classic style. Start with a well-tailored navy
blue suit, paired with a crisp white button-down shirt and a silk tie in a subtle pattern or color. Complete
the look with a pair of black leather oxford shoes and a classic silver watch. To add some personality and
individuality to the outfit, consider adding a statement pocket square or a bold bracelet. This outfit will
not only make a great impression but will also be perfect for any occasion."
gothic,"a small-framed, delicate woman",a night club,"A gothic-inspired fashion outfit for a small-framed, delicate woman at a night club would
feature dark colors, intricate patterns, and bold textures. The outfit could include a black velvet mini dress
with lace accents and a plunging neckline, paired with black leather ankle boots with a pointed toe and a
chunky heel. A statement piece of jewelry, such as a silver choker or a pair of dangly earrings, would add
some edge to the look. To complete the outfit, a black faux fur jacket with a hood and a black clutch purse
would provide both warmth and style."
gothic,"a short, curvy man with a muscular build",a wedding,"A gothic style wedding outfit for a short, curvy man with a muscular build could
include a black velvet suit with a tailored fit, paired with a white silk shirt and black satin tie. The suit
could feature asymmetrical details such as lace or embroidery on the lapels or sleeves, adding an edge to the
classic look. For shoes, a pair of black leather ankle boots with a pointed toe would complement the outfit
perfectly. To accessorize, consider adding a silver chain necklace and black leather gloves for a touch of
drama."
sporty,"a small-framed, delicate woman",a birthday party,"A sporty style outfit for a small-framed, delicate woman at a birthday party could
include a pastel-colored crop top paired with high-waisted leggings or a flowy midi skirt. Add some statement
sneakers or sandals for a casual yet chic look. Accessorize with a crossbody bag or a statement necklace to
add some personality to the outfit. Don't forget to wear your hair in a messy bun or a sleek ponytail to
complete the look."
sporty,"a short, curvy man with a muscular build",a bachelorette / bachelor party,"A sporty style outfit would be perfect for a short, curvy
man with a muscular build at a bachelorette/bachelor party. The outfit should include a fitted tank top in a
bold color such as red or blue, paired with a pair of high-waisted athletic shorts in a complementary color.
To add some height and definition to the legs, consider adding a pair of knee-high socks or leg warmers. For
footwear, a pair of sneakers or boots with a chunky sole would complete the look. Accessories could include a
baseball cap, sunglasses, and a watch to add some sophistication to the casual sporty vibe."
casual,"a small-framed, delicate woman",a graduation,"A small-framed, delicate woman would look stunning in a casual style outfit for her
graduation. The outfit should feature soft colors and flowy fabrics to accentuate her petite frame. A pastel-
colored dress or jumpsuit with a cinched waist and flowing skirt would be perfect. Pair it with strappy
sandals or espadrilles for a comfortable yet chic look. Accessorize with a statement necklace or simple gold
jewelry to add some glamour to the outfit. Finish off the look with a cute clutch or crossbody bag in a
complementary color."
casual,"a short, curvy man with a muscular build",a graduation,"A stylish and casual outfit for a short, curvy man with a muscular build at a
graduation could include a tailored navy blue suit paired with a crisp white dress shirt and a silk tie in a
complementary color such as burgundy or navy. The suit should fit well and accentuate his curves and muscle
tone. For shoes, a pair of sleek black dress shoes or loafers would complete the look. To accessorize,
consider adding a statement watch or cufflinks to add some personality to the outfit. Don't forget to wear a
smile and enjoy your special day!"
bohemian,"a small-framed, delicate woman",a nature retreat,"A bohemian style outfit for a small-framed, delicate woman at a nature retreat would
consist of flowy, lightweight pieces that allow for ease of movement and comfort. The outfit should feature
earthy tones such as greens, browns, and blues to blend in with the natural surroundings. A flowing midi dress
or a maxi skirt made from lightweight fabrics like chiffon or organza would be perfect for the occasion. Pair
the dress with a crochet cardigan or a light denim jacket for warmth. For footwear, sandals or espadrilles
would be the ideal choice. Accessories such as a floppy sun hat, a crossbody bag, and statement earrings can
add some personality to the outfit while still keeping it bohemian and effortless."
bohemian,"a short, curvy man with a muscular build",a camping / hiking,"A bohemian style outfit for a short, curvy man with a muscular
build would include comfortable yet stylish pieces that allow for movement while still making a statement. For
the top, consider a flowy, lightweight button-up shirt or a crop top made from soft, breathable fabrics like
linen or cotton. Pair it with a high-waisted, flowy skirt or a pair of high-waisted leggings for a feminine
touch. To add some edge to the look, consider adding a leather jacket or a denim vest. For footwear, opt for
comfortable yet stylish options like hiking boots or sandals with a chunky sole. Accessorize with a statement
necklace or a pair of dainty earrings, and don't forget a wide-brimmed hat to protect your face from the sun.
Overall, this bohemian style outfit is perfect for a camping or hiking trip, allowing you to stay comfortable
while still looking stylish."
